product,draw_id,draw_date,draw_status,result_json,attributes_json,official_pdf_urls_json,source_url,prize_status,validation_status,validation_warnings_json,fetched_at
max3d,00001,2019-04-22,confirmed,"{""tiers"":{""first"":[""334"",""279"",""576"",""060""],""second"":[""043"",""900"",""132"",""916"",""370"",""766""],""special"":[""015"",""517""],""third"":[""634"",""573"",""539"",""048"",""967"",""262"",""523"",""185""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00001 ngày 22/04/2019"",""official_list_verified_at"":""2026-06-13T19:23:04+00:00""}","[""https://media.vietlott.vn/main/04.2019/system/game.pdf.result/00001_max3d_a6_00001.pdf"",""https://media.vietlott.vn/main/04.2019/system/game.pdf.result/00001max3d_a5_00001.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00001&nocatche=1,complete,valid,[],2026-06-13T19:23:04+00:00
max3d,00002,2019-04-24,confirmed,"{""tiers"":{""first"":[""007"",""038"",""125"",""667""],""second"":[""355"",""787"",""838"",""558"",""762"",""488""],""special"":[""817"",""156""],""third"":[""722"",""401"",""873"",""296"",""292"",""054"",""243"",""882""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00002 ngày 24/04/2019"",""official_list_verified_at"":""2026-06-13T19:23:04+00:00""}","[""https://media.vietlott.vn/main/04.2019/system/game.pdf.result/00002_max3d_a6_00002.pdf"",""https://media.vietlott.vn/main/04.2019/system/game.pdf.result/00002max3d_a5_00002.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00002&nocatche=1,complete,valid,[],2026-06-13T19:23:04+00:00
max3d,00003,2019-04-26,confirmed,"{""tiers"":{""first"":[""479"",""232"",""435"",""033""],""second"":[""071"",""986"",""348"",""539"",""464"",""731""],""special"":[""428"",""336""],""third"":[""428"",""982"",""057"",""331"",""545"",""111"",""873"",""039""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00003 ngày 26/04/2019"",""official_list_verified_at"":""2026-06-13T19:23:04+00:00""}","[""https://media.vietlott.vn/main/04.2019/system/game.pdf.result/00003_max3d_a6_00003.pdf"",""https://media.vietlott.vn/main/04.2019/system/game.pdf.result/00003max3d_a5_00003.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00003&nocatche=1,complete,valid,[],2026-06-13T19:23:04+00:00
max3d,00004,2019-04-29,confirmed,"{""tiers"":{""first"":[""798"",""683"",""954"",""222""],""second"":[""463"",""754"",""971"",""300"",""553"",""179""],""special"":[""668"",""878""],""third"":[""803"",""617"",""958"",""125"",""008"",""393"",""003"",""102""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00004 ngày 29/04/2019"",""official_list_verified_at"":""2026-06-13T19:23:04+00:00""}","[""https://media.vietlott.vn/main/04.2019/system/game.pdf.result/00004_max3d_a6_00004.pdf"",""https://media.vietlott.vn/main/04.2019/system/game.pdf.result/00004max3d_a5_00004.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00004&nocatche=1,complete,valid,[],2026-06-13T19:23:04+00:00
max3d,00005,2019-05-01,confirmed,"{""tiers"":{""first"":[""294"",""847"",""766"",""617""],""second"":[""501"",""037"",""145"",""148"",""725"",""384""],""special"":[""702"",""081""],""third"":[""782"",""847"",""350"",""078"",""174"",""651"",""658"",""469""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00005 ngày 01/05/2019"",""official_list_verified_at"":""2026-06-13T19:23:04+00:00""}","[""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00005_max3d_a6_00005.pdf"",""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00005max3d_a5_00005.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00005&nocatche=1,complete,valid,[],2026-06-13T19:23:04+00:00
max3d,00006,2019-05-03,confirmed,"{""tiers"":{""first"":[""642"",""469"",""512"",""415""],""second"":[""228"",""127"",""348"",""638"",""488"",""145""],""special"":[""572"",""133""],""third"":[""111"",""870"",""834"",""085"",""437"",""238"",""232"",""083""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00006 ngày 03/05/2019"",""official_list_verified_at"":""2026-06-13T19:23:04+00:00""}","[""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00006_max3d_a4_00006.pdf"",""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00006_max3d_a6_00006.pdf"",""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00006max3d_a5_00006.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00006&nocatche=1,complete,valid,[],2026-06-13T19:23:04+00:00
max3d,00007,2019-05-06,confirmed,"{""tiers"":{""first"":[""182"",""748"",""370"",""160""],""second"":[""459"",""572"",""334"",""472"",""714"",""365""],""special"":[""516"",""143""],""third"":[""477"",""662"",""210"",""349"",""105"",""494"",""063"",""212""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00007 ngày 06/05/2019"",""official_list_verified_at"":""2026-06-13T19:23:04+00:00""}","[""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00007_max3d_a4_00007.pdf"",""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00007_max3d_a6_00007.pdf"",""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00007max3d_a5_00007.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00007&nocatche=1,complete,valid,[],2026-06-13T19:23:04+00:00
max3d,00008,2019-05-08,confirmed,"{""tiers"":{""first"":[""589"",""765"",""332"",""126""],""second"":[""004"",""658"",""298"",""897"",""812"",""149""],""special"":[""864"",""188""],""third"":[""979"",""409"",""609"",""606"",""661"",""192"",""439"",""122""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00008 ngày 08/05/2019"",""official_list_verified_at"":""2026-06-13T19:23:03+00:00""}","[""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00008_max3d_a4_00008.pdf"",""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00008_max3d_a6_00008.pdf"",""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00008max3d_a5_00008.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00008&nocatche=1,complete,valid,[],2026-06-13T19:23:03+00:00
max3d,00009,2019-05-10,confirmed,"{""tiers"":{""first"":[""042"",""466"",""498"",""631""],""second"":[""309"",""898"",""019"",""729"",""115"",""696""],""special"":[""656"",""843""],""third"":[""725"",""756"",""894"",""424"",""426"",""209"",""085"",""635""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00009 ngày 10/05/2019"",""official_list_verified_at"":""2026-06-13T19:23:03+00:00""}","[""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00009_max3d_a4_00009.pdf"",""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00009_max3d_a6_00009.pdf"",""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00009max3d_a5_00009.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00009&nocatche=1,complete,valid,[],2026-06-13T19:23:03+00:00
max3d,00010,2019-05-13,confirmed,"{""tiers"":{""first"":[""148"",""553"",""664"",""376""],""second"":[""922"",""866"",""259"",""353"",""436"",""918""],""special"":[""725"",""013""],""third"":[""190"",""024"",""899"",""289"",""110"",""721"",""881"",""174""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00010 ngày 13/05/2019"",""official_list_verified_at"":""2026-06-13T19:23:03+00:00""}","[""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00010_max3d_a4_00010.pdf"",""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00010_max3d_a6_00010.pdf"",""https://media.vietlott.vn/main/05.2019/system/game.pdf.result/00010max3d_a5_00010.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3D?id=00010&nocatche=1,complete,valid,[],2026-06-13T19:23:03+00:00
