product,draw_id,draw_date,draw_status,result_json,attributes_json,official_pdf_urls_json,source_url,prize_status,validation_status,validation_warnings_json,fetched_at
max3dpro,00001,2021-09-14,confirmed,"{""tiers"":{""first"":[""355"",""087"",""711"",""492""],""second"":[""302"",""206"",""092"",""309"",""393"",""180""],""special"":[""740"",""262""],""third"":[""242"",""402"",""314"",""658"",""551"",""277"",""809"",""071""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00001 ngày 14/09/2021"",""official_list_verified_at"":""2026-06-13T19:25:04+00:00""}","[""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00001_max3dpro_a4_v2_00001.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00001_max3dpro_a5_v2_00001.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00001_max3dpro_a6_v2_00001.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00001&nocatche=1,complete,valid,[],2026-06-13T19:25:04+00:00
max3dpro,00002,2021-09-16,confirmed,"{""tiers"":{""first"":[""241"",""488"",""124"",""559""],""second"":[""701"",""250"",""923"",""060"",""828"",""949""],""special"":[""243"",""843""],""third"":[""353"",""385"",""185"",""659"",""640"",""769"",""009"",""190""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00002 ngày 16/09/2021"",""official_list_verified_at"":""2026-06-13T19:25:04+00:00""}","[""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00002_max3dpro_a4_v2_00002.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00002_max3dpro_a5_v2_00002.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00002_max3dpro_a6_v2_00002.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00002&nocatche=1,complete,valid,[],2026-06-13T19:25:04+00:00
max3dpro,00003,2021-09-18,confirmed,"{""tiers"":{""first"":[""857"",""766"",""706"",""411""],""second"":[""158"",""105"",""868"",""369"",""296"",""650""],""special"":[""176"",""797""],""third"":[""112"",""636"",""469"",""329"",""009"",""830"",""209"",""638""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00003 ngày 18/09/2021"",""official_list_verified_at"":""2026-06-13T19:25:04+00:00""}","[""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00003_max3dpro_a4_v2_00003.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00003_max3dpro_a5_v2_00003.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00003_max3dpro_a6_v2_00003.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00003&nocatche=1,complete,valid,[],2026-06-13T19:25:04+00:00
max3dpro,00004,2021-09-21,confirmed,"{""tiers"":{""first"":[""988"",""496"",""491"",""628""],""second"":[""669"",""916"",""341"",""377"",""446"",""293""],""special"":[""961"",""570""],""third"":[""471"",""583"",""763"",""305"",""686"",""664"",""267"",""933""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00004 ngày 21/09/2021"",""official_list_verified_at"":""2026-06-13T19:25:04+00:00""}","[""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00004_max3dpro_a4_v2_00004.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00004_max3dpro_a5_v2_00004.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00004_max3dpro_a6_v2_00004.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00004&nocatche=1,complete,valid,[],2026-06-13T19:25:04+00:00
max3dpro,00005,2021-09-23,confirmed,"{""tiers"":{""first"":[""442"",""521"",""663"",""420""],""second"":[""882"",""064"",""486"",""740"",""621"",""231""],""special"":[""828"",""655""],""third"":[""401"",""416"",""472"",""359"",""040"",""576"",""156"",""888""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00005 ngày 23/09/2021"",""official_list_verified_at"":""2026-06-13T19:25:04+00:00""}","[""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00005_max3dpro_a4_v2_00005.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00005_max3dpro_a5_v2_00005.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00005_max3dpro_a6_v2_00005.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00005&nocatche=1,complete,valid,[],2026-06-13T19:25:04+00:00
max3dpro,00006,2021-09-25,confirmed,"{""tiers"":{""first"":[""641"",""433"",""376"",""870""],""second"":[""869"",""608"",""074"",""234"",""814"",""577""],""special"":[""003"",""266""],""third"":[""186"",""766"",""533"",""200"",""948"",""267"",""956"",""534""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00006 ngày 25/09/2021"",""official_list_verified_at"":""2026-06-13T19:25:04+00:00""}","[""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00006_max3dpro_a4_v2_00006.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00006_max3dpro_a5_v2_00006.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00006_max3dpro_a6_v2_00006.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00006&nocatche=1,complete,valid,[],2026-06-13T19:25:04+00:00
max3dpro,00007,2021-09-28,confirmed,"{""tiers"":{""first"":[""550"",""814"",""609"",""296""],""second"":[""669"",""259"",""867"",""313"",""001"",""999""],""special"":[""301"",""987""],""third"":[""594"",""365"",""667"",""831"",""559"",""046"",""447"",""056""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00007 ngày 28/09/2021"",""official_list_verified_at"":""2026-06-13T19:25:04+00:00""}","[""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00007_max3dpro_a4_v2_00007.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00007_max3dpro_a5_v2_00007.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00007_max3dpro_a6_v2_00007.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00007&nocatche=1,complete,valid,[],2026-06-13T19:25:04+00:00
max3dpro,00008,2021-09-30,confirmed,"{""tiers"":{""first"":[""594"",""350"",""595"",""137""],""second"":[""357"",""856"",""822"",""923"",""072"",""243""],""special"":[""426"",""195""],""third"":[""723"",""313"",""190"",""172"",""179"",""752"",""172"",""391""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00008 ngày 30/09/2021"",""official_list_verified_at"":""2026-06-13T19:25:04+00:00""}","[""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00008_max3dpro_a4_v2_00008.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00008_max3dpro_a5_v2_00008.pdf"",""https://media.vietlott.vn/main/09.2021/system/game.pdf.result/00008_max3dpro_a6_v2_00008.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00008&nocatche=1,complete,valid,[],2026-06-13T19:25:04+00:00
max3dpro,00009,2021-10-02,confirmed,"{""tiers"":{""first"":[""626"",""077"",""195"",""559""],""second"":[""772"",""648"",""499"",""451"",""818"",""727""],""special"":[""720"",""129""],""third"":[""948"",""969"",""492"",""584"",""705"",""002"",""264"",""399""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00009 ngày 02/10/2021"",""official_list_verified_at"":""2026-06-13T19:25:04+00:00""}","[""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00009_max3dpro_a4_v2_00009.pdf"",""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00009_max3dpro_a5_v2_00009.pdf"",""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00009_max3dpro_a6_v2_00009.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00009&nocatche=1,complete,valid,[],2026-06-13T19:25:04+00:00
max3dpro,00010,2021-10-05,confirmed,"{""tiers"":{""first"":[""934"",""085"",""142"",""007""],""second"":[""636"",""095"",""620"",""859"",""749"",""608""],""special"":[""481"",""603""],""third"":[""296"",""277"",""284"",""642"",""883"",""606"",""979"",""623""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00010 ngày 05/10/2021"",""official_list_verified_at"":""2026-06-13T19:24:58+00:00""}","[""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00010_max3dpro_a4_v2_00010.pdf"",""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00010_max3dpro_a5_v2_00010.pdf"",""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00010_max3dpro_a6_v2_00010.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00010&nocatche=1,complete,valid,[],2026-06-13T19:24:58+00:00
max3dpro,00011,2021-10-07,confirmed,"{""tiers"":{""first"":[""518"",""997"",""054"",""957""],""second"":[""030"",""758"",""343"",""942"",""265"",""127""],""special"":[""128"",""706""],""third"":[""663"",""108"",""347"",""598"",""996"",""695"",""859"",""957""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00011 ngày 07/10/2021"",""official_list_verified_at"":""2026-06-13T19:24:58+00:00""}","[""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00011_max3dpro_a4_v2_00011.pdf"",""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00011_max3dpro_a5_v2_00011.pdf"",""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00011_max3dpro_a6_v2_00011.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00011&nocatche=1,complete,valid,[],2026-06-13T19:24:58+00:00
max3dpro,00012,2021-10-09,confirmed,"{""tiers"":{""first"":[""152"",""208"",""728"",""041""],""second"":[""203"",""110"",""979"",""334"",""928"",""482""],""special"":[""134"",""575""],""third"":[""730"",""098"",""836"",""366"",""484"",""551"",""460"",""118""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00012 ngày 09/10/2021"",""official_list_verified_at"":""2026-06-13T19:24:58+00:00""}","[""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00012_max3dpro_a4_v2_00012.pdf"",""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00012_max3dpro_a5_v2_00012.pdf"",""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00012_max3dpro_a6_v2_00012.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00012&nocatche=1,complete,valid,[],2026-06-13T19:24:58+00:00
max3dpro,00013,2021-10-12,confirmed,"{""tiers"":{""first"":[""021"",""626"",""628"",""436""],""second"":[""297"",""269"",""073"",""208"",""335"",""026""],""special"":[""232"",""426""],""third"":[""865"",""463"",""554"",""679"",""515"",""538"",""407"",""967""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00013 ngày 12/10/2021"",""official_list_verified_at"":""2026-06-13T19:24:58+00:00""}","[""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00013_max3dpro_a4_v2_00013.pdf"",""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00013_max3dpro_a5_v2_00013.pdf"",""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00013_max3dpro_a6_v2_00013.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00013&nocatche=1,complete,valid,[],2026-06-13T19:24:58+00:00
max3dpro,00014,2021-10-14,confirmed,"{""tiers"":{""first"":[""290"",""881"",""830"",""513""],""second"":[""776"",""270"",""787"",""212"",""352"",""695""],""special"":[""744"",""066""],""third"":[""902"",""810"",""578"",""871"",""928"",""941"",""064"",""607""]}}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00014 ngày 14/10/2021"",""official_list_verified_at"":""2026-06-13T19:24:58+00:00""}","[""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00014_max3dpro_a4_v2_00014.pdf"",""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00014_max3dpro_a5_v2_00014.pdf"",""https://media.vietlott.vn/main/10.2021/system/game.pdf.result/00014_max3dpro_a6_v2_00014.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00014&nocatche=1,complete,valid,[],2026-06-13T19:24:58+00:00
