product,draw_id,draw_date,draw_status,result_json,attributes_json,official_pdf_urls_json,source_url,prize_status,validation_status,validation_warnings_json,fetched_at
mega645,00001,2016-07-20,confirmed,"{""numbers"":[2,17,33,37,38,45],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00001 ngày 20/07/2016"",""jackpots_vnd"":{""Jackpot"":12357724500},""official_list_verified_at"":""2026-06-13T19:17:18+00:00""}","[""https://media.vietlott.vn//main/07.2016/system/game.pdf.result/00001_mega_a5_00001.pdf"",""https://media.vietlott.vn//main/07.2016/system/game.pdf.result/00001_mega_a6_00001.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00001&nocatche=1,complete,valid,[],2026-06-13T19:17:18+00:00
mega645,00002,2016-07-22,confirmed,"{""numbers"":[3,4,14,20,25,35],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00002 ngày 22/07/2016"",""jackpots_vnd"":{""Jackpot"":12858704500},""official_list_verified_at"":""2026-06-13T19:17:18+00:00""}","[""https://media.vietlott.vn//main/07.2016/system/game.pdf.result/00002_mega_a5_00002.pdf"",""https://media.vietlott.vn//main/07.2016/system/game.pdf.result/00002_mega_a6_00002.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00002&nocatche=1,complete,valid,[],2026-06-13T19:17:18+00:00
mega645,00003,2016-07-24,confirmed,"{""numbers"":[1,10,16,18,23,38],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00003 ngày 24/07/2016"",""jackpots_vnd"":{""Jackpot"":13271044500},""official_list_verified_at"":""2026-06-13T19:17:17+00:00""}","[""https://media.vietlott.vn//main/07.2016/system/game.pdf.result/00003_mega_a5_00003.pdf"",""https://media.vietlott.vn//main/07.2016/system/game.pdf.result/00003_mega_a6_00003.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00003&nocatche=1,complete,valid,[],2026-06-13T19:17:17+00:00
mega645,00004,2016-07-27,confirmed,"{""numbers"":[14,17,21,25,31,37],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00004 ngày 27/07/2016"",""jackpots_vnd"":{""Jackpot"":13942033000},""official_list_verified_at"":""2026-06-13T19:17:17+00:00""}","[""https://media.vietlott.vn//main/07.2016/system/game.pdf.result/00004_mega_a5_00004.pdf"",""https://media.vietlott.vn//main/07.2016/system/game.pdf.result/00004_mega_a6_00004.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00004&nocatche=1,complete,valid,[],2026-06-13T19:17:17+00:00
mega645,00005,2016-07-29,confirmed,"{""numbers"":[3,8,13,20,30,36],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00005 ngày 29/07/2016"",""jackpots_vnd"":{""Jackpot"":14565346500},""official_list_verified_at"":""2026-06-13T19:17:17+00:00""}","[""https://media.vietlott.vn//main/07.2016/system/game.pdf.result/00005_mega_a5_00005.pdf"",""https://media.vietlott.vn//main/07.2016/system/game.pdf.result/00005_mega_a6_00005.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00005&nocatche=1,complete,valid,[],2026-06-13T19:17:17+00:00
mega645,00006,2016-07-31,confirmed,"{""numbers"":[2,6,19,21,35,39],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00006 ngày 31/07/2016"",""jackpots_vnd"":{""Jackpot"":15121387000},""official_list_verified_at"":""2026-06-13T19:17:17+00:00""}","[""https://media.vietlott.vn//main/07.2016/system/game.pdf.result/00006_mega_a5_00006.pdf"",""https://media.vietlott.vn//main/07.2016/system/game.pdf.result/00006_mega_a6_00006.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00006&nocatche=1,complete,valid,[],2026-06-13T19:17:17+00:00
mega645,00007,2016-08-03,confirmed,"{""numbers"":[7,10,25,27,29,40],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00007 ngày 03/08/2016"",""jackpots_vnd"":{""Jackpot"":15791342500},""official_list_verified_at"":""2026-06-13T19:17:17+00:00""}","[""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00007_mega_a5_00007.pdf"",""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00007_mega_a6_00007.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00007&nocatche=1,complete,valid,[],2026-06-13T19:17:17+00:00
mega645,00008,2016-08-05,confirmed,"{""numbers"":[3,9,13,18,24,31],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00008 ngày 05/08/2016"",""jackpots_vnd"":{""Jackpot"":16409266000},""official_list_verified_at"":""2026-06-13T19:17:17+00:00""}","[""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00008_mega_a5_00008.pdf"",""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00008_mega_a6_00008.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00008&nocatche=1,complete,valid,[],2026-06-13T19:17:17+00:00
mega645,00009,2016-08-07,confirmed,"{""numbers"":[3,5,17,22,30,31],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00009 ngày 07/08/2016"",""jackpots_vnd"":{""Jackpot"":17164580000},""official_list_verified_at"":""2026-06-13T19:17:17+00:00""}","[""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00009_mega_a5_00009.pdf"",""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00009_mega_a6_00009.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00009&nocatche=1,complete,valid,[],2026-06-13T19:17:17+00:00
mega645,00010,2016-08-10,confirmed,"{""numbers"":[6,15,16,19,27,30],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00010 ngày 10/08/2016"",""jackpots_vnd"":{""Jackpot"":17952978000},""official_list_verified_at"":""2026-06-13T19:17:17+00:00""}","[""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00010_mega_a5_00010.pdf"",""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00010_mega_a6_00010.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00010&nocatche=1,complete,valid,[],2026-06-13T19:17:17+00:00
mega645,00011,2016-08-12,confirmed,"{""numbers"":[28,31,34,37,38,41],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00011 ngày 12/08/2016"",""jackpots_vnd"":{""Jackpot"":18841509500},""official_list_verified_at"":""2026-06-13T19:17:16+00:00""}","[""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00011_mega_a5_00011.pdf"",""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00011_mega_a6_00011.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00011&nocatche=1,complete,valid,[],2026-06-13T19:17:16+00:00
mega645,00012,2016-08-14,confirmed,"{""numbers"":[13,16,17,29,31,37],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00012 ngày 14/08/2016"",""jackpots_vnd"":{""Jackpot"":19290861000},""official_list_verified_at"":""2026-06-13T19:17:16+00:00""}","[""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00012_mega_a5_00012.pdf"",""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00012_mega_a6_00012.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00012&nocatche=1,complete,valid,[],2026-06-13T19:17:16+00:00
mega645,00013,2016-08-17,confirmed,"{""numbers"":[2,4,9,19,21,26],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00013 ngày 17/08/2016"",""jackpots_vnd"":{""Jackpot"":20253396500},""official_list_verified_at"":""2026-06-13T19:17:16+00:00""}","[""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00013_mega_a5_00013.pdf"",""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00013_mega_a6_00013.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00013&nocatche=1,complete,valid,[],2026-06-13T19:17:16+00:00
mega645,00014,2016-08-19,confirmed,"{""numbers"":[11,12,17,33,34,36],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00014 ngày 19/08/2016"",""jackpots_vnd"":{""Jackpot"":21032293000},""official_list_verified_at"":""2026-06-13T19:17:16+00:00""}","[""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00014_mega_a5_00014.pdf"",""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00014_mega_a6_00014.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00014&nocatche=1,complete,valid,[],2026-06-13T19:17:16+00:00
mega645,00015,2016-08-21,confirmed,"{""numbers"":[13,21,24,25,29,44],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00015 ngày 21/08/2016"",""jackpots_vnd"":{""Jackpot"":21982877500},""official_list_verified_at"":""2026-06-13T19:17:16+00:00""}","[""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00015_mega_a5_00015.pdf"",""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00015_mega_a6_00015.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00015&nocatche=1,complete,valid,[],2026-06-13T19:17:16+00:00
mega645,00016,2016-08-24,confirmed,"{""numbers"":[8,17,21,23,36,40],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00016 ngày 24/08/2016"",""jackpots_vnd"":{""Jackpot"":23139377500},""official_list_verified_at"":""2026-06-13T19:17:16+00:00""}","[""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00016_mega_a5_00016.pdf"",""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00016_mega_a6_00016.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00016&nocatche=1,complete,valid,[],2026-06-13T19:17:16+00:00
mega645,00017,2016-08-26,confirmed,"{""numbers"":[10,36,39,43,44,45],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00017 ngày 26/08/2016"",""jackpots_vnd"":{""Jackpot"":24214106500},""official_list_verified_at"":""2026-06-13T19:17:16+00:00""}","[""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00017_mega_a5_00017.pdf"",""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00017_mega_a6_00017.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00017&nocatche=1,complete,valid,[],2026-06-13T19:17:16+00:00
mega645,00018,2016-08-28,confirmed,"{""numbers"":[4,6,10,15,16,44],""special_numbers"":[]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00018 ngày 28/08/2016"",""jackpots_vnd"":{""Jackpot"":25624053000},""official_list_verified_at"":""2026-06-13T19:17:16+00:00""}","[""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00018_mega_a5_00018.pdf"",""https://media.vietlott.vn//main/08.2016/system/game.pdf.result/00018_mega_a6_00018.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00018&nocatche=1,complete,valid,[],2026-06-13T19:17:16+00:00
