product,draw_id,draw_date,draw_status,result_json,attributes_json,official_pdf_urls_json,source_url,prize_status,validation_status,validation_warnings_json,fetched_at
power655,00001,2017-08-01,confirmed,"{""numbers"":[5,10,14,23,24,38],""special_numbers"":[35]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00001 ngày 01/08/2017"",""jackpots_vnd"":{""Jackpot 1"":30528493950},""official_list_verified_at"":""2026-06-13T19:19:15+00:00""}","[""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00001_power_a5_00001.pdf"",""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00001_power_a6_00001.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00001&nocatche=1,complete,valid,[],2026-06-13T19:19:15+00:00
power655,00002,2017-08-03,confirmed,"{""numbers"":[4,9,24,25,27,45],""special_numbers"":[40]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00002 ngày 03/08/2017"",""jackpots_vnd"":{""Jackpot 1"":31024813350},""official_list_verified_at"":""2026-06-13T19:19:15+00:00""}","[""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00002_power_a5_00002.pdf"",""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00002_power_a6_00002.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00002&nocatche=1,complete,valid,[],2026-06-13T19:19:15+00:00
power655,00003,2017-08-05,confirmed,"{""numbers"":[1,5,11,32,40,45],""special_numbers"":[43]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00003 ngày 05/08/2017"",""jackpots_vnd"":{""Jackpot 1"":31903413600},""official_list_verified_at"":""2026-06-13T19:19:15+00:00""}","[""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00003_power_a5_00003.pdf"",""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00003_power_a6_00003.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00003&nocatche=1,complete,valid,[],2026-06-13T19:19:15+00:00
power655,00004,2017-08-08,confirmed,"{""numbers"":[19,36,39,41,46,51],""special_numbers"":[38]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00004 ngày 08/08/2017"",""jackpots_vnd"":{""Jackpot 1"":33415353750},""official_list_verified_at"":""2026-06-13T19:19:15+00:00""}","[""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00004_power_a5_00004.pdf"",""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00004_power_a6_00004.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00004&nocatche=1,complete,valid,[],2026-06-13T19:19:15+00:00
power655,00005,2017-08-10,confirmed,"{""numbers"":[10,11,19,41,50,54],""special_numbers"":[3]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00005 ngày 10/08/2017"",""jackpots_vnd"":{""Jackpot 1"":34588091550},""official_list_verified_at"":""2026-06-13T19:19:15+00:00""}","[""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00005_power_a5_00005.pdf"",""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00005_power_a6_00005.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00005&nocatche=1,complete,valid,[],2026-06-13T19:19:15+00:00
power655,00006,2017-08-12,confirmed,"{""numbers"":[6,16,20,32,38,51],""special_numbers"":[34]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00006 ngày 12/08/2017"",""jackpots_vnd"":{""Jackpot 1"":35666199750},""official_list_verified_at"":""2026-06-13T19:19:15+00:00""}","[""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00006_power_a5_00006.pdf"",""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00006_power_a6_00006.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00006&nocatche=1,complete,valid,[],2026-06-13T19:19:15+00:00
power655,00007,2017-08-15,confirmed,"{""numbers"":[7,11,19,32,33,51],""special_numbers"":[30]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00007 ngày 15/08/2017"",""jackpots_vnd"":{""Jackpot 1"":36713676000},""official_list_verified_at"":""2026-06-13T19:19:14+00:00""}","[""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00007_power_a5_00007.pdf"",""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00007_power_a6_00007.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00007&nocatche=1,complete,valid,[],2026-06-13T19:19:14+00:00
power655,00008,2017-08-17,confirmed,"{""numbers"":[11,12,20,30,32,34],""special_numbers"":[53]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00008 ngày 17/08/2017"",""jackpots_vnd"":{""Jackpot 1"":37754634900},""official_list_verified_at"":""2026-06-13T19:19:14+00:00""}","[""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00008_power_a5_00008.pdf"",""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00008_power_a6_00008.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00008&nocatche=1,complete,valid,[],2026-06-13T19:19:14+00:00
power655,00009,2017-08-19,confirmed,"{""numbers"":[7,11,13,15,26,51],""special_numbers"":[36]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00009 ngày 19/08/2017"",""jackpots_vnd"":{""Jackpot 1"":38842141350},""official_list_verified_at"":""2026-06-13T19:19:14+00:00""}","[""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00009_power_a5_00009.pdf"",""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00009_power_a6_00009.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00009&nocatche=1,complete,valid,[],2026-06-13T19:19:14+00:00
power655,00010,2017-08-22,confirmed,"{""numbers"":[10,24,31,32,38,44],""special_numbers"":[14]}","{""data_source"":""official_vietlott"",""detail_title"":""Kỳ quay thưởng #00010 ngày 22/08/2017"",""jackpots_vnd"":{""Jackpot 1"":40231270200},""official_list_verified_at"":""2026-06-13T19:19:14+00:00""}","[""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00010_power_a5_00010.pdf"",""https://media.vietlott.vn//main/08.2017/system/game.pdf.result/00010_power_a6_00010.pdf""]",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00010&nocatche=1,complete,valid,[],2026-06-13T19:19:14+00:00
