product,game_variant,prize_tier,winning_rule,prize_value_vnd,details_json,source_url
bingo18,tabSelNumberInfo,Chọn số 1,Chọn số 1,1,"{""columns"":{""Giá trị trúng thưởng"":""Kết quả quay số có một số 1"",""Xác định kết quả"":""Chọn số 1"",""column_3"":""12.000""},""row_index"":0,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Chọn số 2,Chọn số 2,2,"{""columns"":{""Giá trị trúng thưởng"":""Kết quả quay số có một số 2"",""Xác định kết quả"":""Chọn số 2"",""column_3"":""12.000 ( Số lượng: 2 )""},""row_index"":3,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Chọn số 3,Chọn số 3,3,"{""columns"":{""Giá trị trúng thưởng"":""Kết quả quay số có một số 3"",""Xác định kết quả"":""Chọn số 3"",""column_3"":""12.000 ( Số lượng: 15 )""},""row_index"":6,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Chọn số 4,Chọn số 4,4,"{""columns"":{""Giá trị trúng thưởng"":""Kết quả quay số có một số 4"",""Xác định kết quả"":""Chọn số 4"",""column_3"":""12.000""},""row_index"":9,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Chọn số 5,Chọn số 5,5,"{""columns"":{""Giá trị trúng thưởng"":""Kết quả quay số có một số 5"",""Xác định kết quả"":""Chọn số 5"",""column_3"":""12.000""},""row_index"":12,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Chọn số 6,Chọn số 6,6,"{""columns"":{""Giá trị trúng thưởng"":""Kết quả quay số có một số 6"",""Xác định kết quả"":""Chọn số 6"",""column_3"":""12.000""},""row_index"":15,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có ba số 1,Kết quả quay số có ba số 1,30000,"{""columns"":{""Giá trị trúng thưởng"":""30.000"",""Xác định kết quả"":""Kết quả quay số có ba số 1""},""row_index"":2,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có ba số 1,Kết quả quay số có ba số 1,300001,"{""columns"":{""Giá trị trúng thưởng"":""30.000 ( Số lượng: 1 )"",""Xác định kết quả"":""Kết quả quay số có ba số 1""},""row_index"":2,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171710
bingo18,tabSelNumberInfo,Kết quả quay số có ba số 1,Kết quả quay số có ba số 1,1200000,"{""columns"":{""Giá trị trúng thưởng"":""1.200.000"",""Xác định kết quả"":""Kết quả quay số có ba số 1""},""row_index"":0,""table_index"":4}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có ba số 2,Kết quả quay số có ba số 2,30000,"{""columns"":{""Giá trị trúng thưởng"":""30.000"",""Xác định kết quả"":""Kết quả quay số có ba số 2""},""row_index"":5,""table_index"":2}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
