product,draw_id,game_variant,prize_tier,winning_rule,winner_count,prize_value_vnd,details_json,source_url,fetched_at
max3dpro,00001,Từ 18h00 – 18h30 Thứ 3 - Thứ 5 - Thứ 7,Giải Ba,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số 242 402 314 658 551 277 809 071,6,4000000,"{""columns"":{""Giá trị"":""4.000.000"",""Giải thưởng"":""Giải Ba"",""Kết quả"":""Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số 242 402 314 658 551 277 809 071"",""SL giải"":""6""},""row_index"":4,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00001&nocatche=1,2026-06-13T18:29:49+00:00
max3dpro,00001,Từ 18h00 – 18h30 Thứ 3 - Thứ 5 - Thứ 7,Giải Nhì,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số 302 206 092 309 393 180,1,10000000,"{""columns"":{""Giá trị"":""10.000.000"",""Giải thưởng"":""Giải Nhì"",""Kết quả"":""Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số 302 206 092 309 393 180"",""SL giải"":""1""},""row_index"":3,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00001&nocatche=1,2026-06-13T18:29:49+00:00
max3dpro,00001,Từ 18h00 – 18h30 Thứ 3 - Thứ 5 - Thứ 7,Giải Nhất,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số 355 087 711 492,0,30000000,"{""columns"":{""Giá trị"":""30.000.000"",""Giải thưởng"":""Giải Nhất"",""Kết quả"":""Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số 355 087 711 492"",""SL giải"":""0""},""row_index"":2,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00001&nocatche=1,2026-06-13T18:29:49+00:00
max3dpro,00001,Từ 18h00 – 18h30 Thứ 3 - Thứ 5 - Thứ 7,Giải năm,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số 740 262,295,100000,"{""columns"":{""Giá trị"":""100.000"",""Giải thưởng"":""Giải năm"",""Kết quả"":""Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số 740 262"",""SL giải"":""295""},""row_index"":6,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00001&nocatche=1,2026-06-13T18:29:49+00:00
max3dpro,00001,Từ 18h00 – 18h30 Thứ 3 - Thứ 5 - Thứ 7,Giải phụ Đặc biệt,262 740,0,400000000,"{""columns"":{""Giá trị"":""400.000.000"",""Giải thưởng"":""Giải phụ Đặc biệt"",""Kết quả"":""262 740"",""SL giải"":""0""},""row_index"":1,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00001&nocatche=1,2026-06-13T18:29:49+00:00
max3dpro,00001,Từ 18h00 – 18h30 Thứ 3 - Thứ 5 - Thứ 7,Giải sáu,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số 355 087 711 492 302 206 092 309 393 180 242 402 314 658 551 277 809 071,2662,40000,"{""columns"":{""Giá trị"":""40.000"",""Giải thưởng"":""Giải sáu"",""Kết quả"":""Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số 355 087 711 492 302 206 092 309 393 180 242 402 314 658 551 277 809 071"",""SL giải"":""2.662""},""row_index"":7,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00001&nocatche=1,2026-06-13T18:29:49+00:00
max3dpro,00001,Từ 18h00 – 18h30 Thứ 3 - Thứ 5 - Thứ 7,Giải tư,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số 740 262 355 087 711 492 302 206 092 309 393 180 242 402 314 658 551 277 809 071,28,1000000,"{""columns"":{""Giá trị"":""1.000.000"",""Giải thưởng"":""Giải tư"",""Kết quả"":""Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số 740 262 355 087 711 492 302 206 092 309 393 180 242 402 314 658 551 277 809 071"",""SL giải"":""28""},""row_index"":5,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00001&nocatche=1,2026-06-13T18:29:49+00:00
max3dpro,00001,Từ 18h00 – 18h30 Thứ 3 - Thứ 5 - Thứ 7,Giải Đặc biệt,740 262,0,2000000000,"{""columns"":{""Giá trị"":""2.000.000.000"",""Giải thưởng"":""Giải Đặc biệt"",""Kết quả"":""740 262"",""SL giải"":""0""},""row_index"":0,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00001&nocatche=1,2026-06-13T18:29:49+00:00
max3dpro,00002,Từ 18h00 – 18h30 Thứ 3 - Thứ 5 - Thứ 7,Giải Ba,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số 353 385 185 659 640 769 009 190,5,4000000,"{""columns"":{""Giá trị"":""4.000.000"",""Giải thưởng"":""Giải Ba"",""Kết quả"":""Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số 353 385 185 659 640 769 009 190"",""SL giải"":""5""},""row_index"":4,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00002&nocatche=1,2026-06-13T18:29:50+00:00
max3dpro,00002,Từ 18h00 – 18h30 Thứ 3 - Thứ 5 - Thứ 7,Giải Nhì,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số 701 250 923 060 828 949,3,10000000,"{""columns"":{""Giá trị"":""10.000.000"",""Giải thưởng"":""Giải Nhì"",""Kết quả"":""Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số 701 250 923 060 828 949"",""SL giải"":""3""},""row_index"":3,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00002&nocatche=1,2026-06-13T18:29:50+00:00
max3dpro,00002,Từ 18h00 – 18h30 Thứ 3 - Thứ 5 - Thứ 7,Giải Nhất,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số 241 488 124 559,16,30000000,"{""columns"":{""Giá trị"":""30.000.000"",""Giải thưởng"":""Giải Nhất"",""Kết quả"":""Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số 241 488 124 559"",""SL giải"":""16""},""row_index"":2,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-3DPro?id=00002&nocatche=1,2026-06-13T18:29:50+00:00
