product,draw_id,game_variant,prize_tier,winning_rule,winner_count,prize_value_vnd,details_json,source_url,fetched_at
max4d,00001,Từ 18h00 – 18h30 Thứ 3 5 7,Giải Ba,0210   3184   6691,89,3000000,"{""columns"":{""Giá trị giải (đồng)"":""3.000.000"",""Giải thưởng"":""Giải Ba"",""Kết quả"":""0210   3184   6691"",""Số lượng giải"":""89""},""row_index"":2,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-4d?id=00001&nocatche=1,2026-06-13T18:49:27+00:00
max4d,00001,Từ 18h00 – 18h30 Thứ 3 5 7,Giải Nhì,3448   0273,40,6500000,"{""columns"":{""Giá trị giải (đồng)"":""6.500.000"",""Giải thưởng"":""Giải Nhì"",""Kết quả"":""3448   0273"",""Số lượng giải"":""40""},""row_index"":1,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-4d?id=00001&nocatche=1,2026-06-13T18:49:27+00:00
max4d,00001,Từ 18h00 – 18h30 Thứ 3 5 7,Giải Nhất,7589,27,15000000,"{""columns"":{""Giá trị giải (đồng)"":""15.000.000"",""Giải thưởng"":""Giải Nhất"",""Kết quả"":""7589"",""Số lượng giải"":""27""},""row_index"":0,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-4d?id=00001&nocatche=1,2026-06-13T18:49:27+00:00
max4d,00001,Từ 18h00 – 18h30 Thứ 3 5 7,Khuyến khích 1,X589,376,1000000,"{""columns"":{""Giá trị giải (đồng)"":""1.000.000"",""Giải thưởng"":""Khuyến khích 1"",""Kết quả"":""X589"",""Số lượng giải"":""376""},""row_index"":3,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-4d?id=00001&nocatche=1,2026-06-13T18:49:27+00:00
max4d,00001,Từ 18h00 – 18h30 Thứ 3 5 7,Khuyến khích 2,XX89,3022,100000,"{""columns"":{""Giá trị giải (đồng)"":""100.000"",""Giải thưởng"":""Khuyến khích 2"",""Kết quả"":""XX89"",""Số lượng giải"":""3.022""},""row_index"":4,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-4d?id=00001&nocatche=1,2026-06-13T18:49:27+00:00
max4d,00002,Từ 18h00 – 18h30 Thứ 3 5 7,Giải Ba,9679   6506   9453,105,3000000,"{""columns"":{""Giá trị giải (đồng)"":""3.000.000"",""Giải thưởng"":""Giải Ba"",""Kết quả"":""9679   6506   9453"",""Số lượng giải"":""105""},""row_index"":2,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-4d?id=00002&nocatche=1,2026-06-13T18:49:30+00:00
max4d,00002,Từ 18h00 – 18h30 Thứ 3 5 7,Giải Nhì,9580   5264,52,6500000,"{""columns"":{""Giá trị giải (đồng)"":""6.500.000"",""Giải thưởng"":""Giải Nhì"",""Kết quả"":""9580   5264"",""Số lượng giải"":""52""},""row_index"":1,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-4d?id=00002&nocatche=1,2026-06-13T18:49:30+00:00
max4d,00002,Từ 18h00 – 18h30 Thứ 3 5 7,Giải Nhất,3411,58,15000000,"{""columns"":{""Giá trị giải (đồng)"":""15.000.000"",""Giải thưởng"":""Giải Nhất"",""Kết quả"":""3411"",""Số lượng giải"":""58""},""row_index"":0,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-4d?id=00002&nocatche=1,2026-06-13T18:49:30+00:00
max4d,00002,Từ 18h00 – 18h30 Thứ 3 5 7,Khuyến khích 1,X411,797,1000000,"{""columns"":{""Giá trị giải (đồng)"":""1.000.000"",""Giải thưởng"":""Khuyến khích 1"",""Kết quả"":""X411"",""Số lượng giải"":""797""},""row_index"":3,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-4d?id=00002&nocatche=1,2026-06-13T18:49:30+00:00
max4d,00002,Từ 18h00 – 18h30 Thứ 3 5 7,Khuyến khích 2,XX11,6537,100000,"{""columns"":{""Giá trị giải (đồng)"":""100.000"",""Giải thưởng"":""Khuyến khích 2"",""Kết quả"":""XX11"",""Số lượng giải"":""6.537""},""row_index"":4,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/max-4d?id=00002&nocatche=1,2026-06-13T18:49:30+00:00
