product,draw_id,game_variant,prize_tier,winning_rule,winner_count,prize_value_vnd,details_json,source_url,fetched_at
mega645,00001,Giá trị Jackpot,Giải Ba,O O O,4242,30000,"{""columns"":{""Giá trị giải (đồng)"":""30.000"",""Giải thưởng"":""Giải Ba"",""Kết quả"":""O O O"",""Số lượng giải"":""4.242""},""row_index"":3,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00001&nocatche=1,2026-06-13T16:51:01+00:00
mega645,00001,Giá trị Jackpot,Giải Nhì,O O O O,222,300000,"{""columns"":{""Giá trị giải (đồng)"":""300.000"",""Giải thưởng"":""Giải Nhì"",""Kết quả"":""O O O O"",""Số lượng giải"":""222""},""row_index"":2,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00001&nocatche=1,2026-06-13T16:51:01+00:00
mega645,00001,Giá trị Jackpot,Giải Nhất,O O O O O,3,10000000,"{""columns"":{""Giá trị giải (đồng)"":""10.000.000"",""Giải thưởng"":""Giải Nhất"",""Kết quả"":""O O O O O"",""Số lượng giải"":""3""},""row_index"":1,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00001&nocatche=1,2026-06-13T16:51:01+00:00
mega645,00001,Giá trị Jackpot,Jackpot,O O O O O O,0,12357724500,"{""columns"":{""Giá trị giải (đồng)"":""12.357.724.500"",""Giải thưởng"":""Jackpot"",""Kết quả"":""O O O O O O"",""Số lượng giải"":""0""},""row_index"":0,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00001&nocatche=1,2026-06-13T16:51:01+00:00
mega645,00002,Giá trị Jackpot,Giải Ba,O O O,3276,30000,"{""columns"":{""Giá trị giải (đồng)"":""30.000"",""Giải thưởng"":""Giải Ba"",""Kết quả"":""O O O"",""Số lượng giải"":""3.276""},""row_index"":3,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00002&nocatche=1,2026-06-13T16:51:04+00:00
mega645,00002,Giá trị Jackpot,Giải Nhì,O O O O,148,300000,"{""columns"":{""Giá trị giải (đồng)"":""300.000"",""Giải thưởng"":""Giải Nhì"",""Kết quả"":""O O O O"",""Số lượng giải"":""148""},""row_index"":2,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00002&nocatche=1,2026-06-13T16:51:04+00:00
mega645,00002,Giá trị Jackpot,Giải Nhất,O O O O O,1,10000000,"{""columns"":{""Giá trị giải (đồng)"":""10.000.000"",""Giải thưởng"":""Giải Nhất"",""Kết quả"":""O O O O O"",""Số lượng giải"":""1""},""row_index"":1,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00002&nocatche=1,2026-06-13T16:51:04+00:00
mega645,00002,Giá trị Jackpot,Jackpot,O O O O O O,0,12858704500,"{""columns"":{""Giá trị giải (đồng)"":""12.858.704.500"",""Giải thưởng"":""Jackpot"",""Kết quả"":""O O O O O O"",""Số lượng giải"":""0""},""row_index"":0,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00002&nocatche=1,2026-06-13T16:51:04+00:00
mega645,00003,Giá trị Jackpot,Giải Ba,O O O,5182,30000,"{""columns"":{""Giá trị giải (đồng)"":""30.000"",""Giải thưởng"":""Giải Ba"",""Kết quả"":""O O O"",""Số lượng giải"":""5.182""},""row_index"":3,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00003&nocatche=1,2026-06-13T16:51:07+00:00
mega645,00003,Giá trị Jackpot,Giải Nhì,O O O O,323,300000,"{""columns"":{""Giá trị giải (đồng)"":""300.000"",""Giải thưởng"":""Giải Nhì"",""Kết quả"":""O O O O"",""Số lượng giải"":""323""},""row_index"":2,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00003&nocatche=1,2026-06-13T16:51:07+00:00
mega645,00003,Giá trị Jackpot,Giải Nhất,O O O O O,5,10000000,"{""columns"":{""Giá trị giải (đồng)"":""10.000.000"",""Giải thưởng"":""Giải Nhất"",""Kết quả"":""O O O O O"",""Số lượng giải"":""5""},""row_index"":1,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00003&nocatche=1,2026-06-13T16:51:07+00:00
mega645,00003,Giá trị Jackpot,Jackpot,O O O O O O,0,13271044500,"{""columns"":{""Giá trị giải (đồng)"":""13.271.044.500"",""Giải thưởng"":""Jackpot"",""Kết quả"":""O O O O O O"",""Số lượng giải"":""0""},""row_index"":0,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00003&nocatche=1,2026-06-13T16:51:07+00:00
mega645,00004,Giá trị Jackpot,Giải Ba,O O O,5431,30000,"{""columns"":{""Giá trị giải (đồng)"":""30.000"",""Giải thưởng"":""Giải Ba"",""Kết quả"":""O O O"",""Số lượng giải"":""5.431""},""row_index"":3,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00004&nocatche=1,2026-06-13T16:51:08+00:00
mega645,00004,Giá trị Jackpot,Giải Nhì,O O O O,333,300000,"{""columns"":{""Giá trị giải (đồng)"":""300.000"",""Giải thưởng"":""Giải Nhì"",""Kết quả"":""O O O O"",""Số lượng giải"":""333""},""row_index"":2,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00004&nocatche=1,2026-06-13T16:51:08+00:00
mega645,00004,Giá trị Jackpot,Giải Nhất,O O O O O,5,10000000,"{""columns"":{""Giá trị giải (đồng)"":""10.000.000"",""Giải thưởng"":""Giải Nhất"",""Kết quả"":""O O O O O"",""Số lượng giải"":""5""},""row_index"":1,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00004&nocatche=1,2026-06-13T16:51:08+00:00
mega645,00004,Giá trị Jackpot,Jackpot,O O O O O O,0,13942033000,"{""columns"":{""Giá trị giải (đồng)"":""13.942.033.000"",""Giải thưởng"":""Jackpot"",""Kết quả"":""O O O O O O"",""Số lượng giải"":""0""},""row_index"":0,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00004&nocatche=1,2026-06-13T16:51:08+00:00
mega645,00005,Giá trị Jackpot,Giải Ba,O O O,5170,30000,"{""columns"":{""Giá trị giải (đồng)"":""30.000"",""Giải thưởng"":""Giải Ba"",""Kết quả"":""O O O"",""Số lượng giải"":""5.170""},""row_index"":3,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00005&nocatche=1,2026-06-13T16:51:09+00:00
mega645,00005,Giá trị Jackpot,Giải Nhì,O O O O,310,300000,"{""columns"":{""Giá trị giải (đồng)"":""300.000"",""Giải thưởng"":""Giải Nhì"",""Kết quả"":""O O O O"",""Số lượng giải"":""310""},""row_index"":2,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00005&nocatche=1,2026-06-13T16:51:09+00:00
mega645,00005,Giá trị Jackpot,Giải Nhất,O O O O O,5,10000000,"{""columns"":{""Giá trị giải (đồng)"":""10.000.000"",""Giải thưởng"":""Giải Nhất"",""Kết quả"":""O O O O O"",""Số lượng giải"":""5""},""row_index"":1,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00005&nocatche=1,2026-06-13T16:51:09+00:00
mega645,00005,Giá trị Jackpot,Jackpot,O O O O O O,0,14565346500,"{""columns"":{""Giá trị giải (đồng)"":""14.565.346.500"",""Giải thưởng"":""Jackpot"",""Kết quả"":""O O O O O O"",""Số lượng giải"":""0""},""row_index"":0,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00005&nocatche=1,2026-06-13T16:51:09+00:00
mega645,00006,Giá trị Jackpot,Giải Ba,O O O,7000,30000,"{""columns"":{""Giá trị giải (đồng)"":""30.000"",""Giải thưởng"":""Giải Ba"",""Kết quả"":""O O O"",""Số lượng giải"":""7.000""},""row_index"":3,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00006&nocatche=1,2026-06-13T16:51:10+00:00
mega645,00006,Giá trị Jackpot,Giải Nhì,O O O O,446,300000,"{""columns"":{""Giá trị giải (đồng)"":""300.000"",""Giải thưởng"":""Giải Nhì"",""Kết quả"":""O O O O"",""Số lượng giải"":""446""},""row_index"":2,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00006&nocatche=1,2026-06-13T16:51:10+00:00
mega645,00006,Giá trị Jackpot,Giải Nhất,O O O O O,5,10000000,"{""columns"":{""Giá trị giải (đồng)"":""10.000.000"",""Giải thưởng"":""Giải Nhất"",""Kết quả"":""O O O O O"",""Số lượng giải"":""5""},""row_index"":1,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00006&nocatche=1,2026-06-13T16:51:10+00:00
mega645,00006,Giá trị Jackpot,Jackpot,O O O O O O,0,15121387000,"{""columns"":{""Giá trị giải (đồng)"":""15.121.387.000"",""Giải thưởng"":""Jackpot"",""Kết quả"":""O O O O O O"",""Số lượng giải"":""0""},""row_index"":0,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00006&nocatche=1,2026-06-13T16:51:10+00:00
mega645,00007,Giá trị Jackpot,Giải Ba,O O O,7254,30000,"{""columns"":{""Giá trị giải (đồng)"":""30.000"",""Giải thưởng"":""Giải Ba"",""Kết quả"":""O O O"",""Số lượng giải"":""7.254""},""row_index"":3,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00007&nocatche=1,2026-06-13T16:51:11+00:00
mega645,00007,Giá trị Jackpot,Giải Nhì,O O O O,496,300000,"{""columns"":{""Giá trị giải (đồng)"":""300.000"",""Giải thưởng"":""Giải Nhì"",""Kết quả"":""O O O O"",""Số lượng giải"":""496""},""row_index"":2,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/645?id=00007&nocatche=1,2026-06-13T16:51:11+00:00
