product,draw_id,game_variant,prize_tier,winning_rule,winner_count,prize_value_vnd,details_json,source_url,fetched_at
power655,00001,Giá trị Jackpot 2,Giải Ba,O O O,4024,50000,"{""columns"":{""Giá trị giải (đồng)"":""50.000"",""Giải thưởng"":""Giải Ba"",""Kết quả"":""O O O"",""Số lượng giải"":""4.024""},""row_index"":4,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00001&nocatche=1,2026-06-13T17:11:24+00:00
power655,00001,Giá trị Jackpot 2,Giải Nhì,O O O O,170,500000,"{""columns"":{""Giá trị giải (đồng)"":""500.000"",""Giải thưởng"":""Giải Nhì"",""Kết quả"":""O O O O"",""Số lượng giải"":""170""},""row_index"":3,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00001&nocatche=1,2026-06-13T17:11:24+00:00
power655,00001,Giá trị Jackpot 2,Giải Nhất,O O O O O,3,40000000,"{""columns"":{""Giá trị giải (đồng)"":""40.000.000"",""Giải thưởng"":""Giải Nhất"",""Kết quả"":""O O O O O"",""Số lượng giải"":""3""},""row_index"":2,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00001&nocatche=1,2026-06-13T17:11:24+00:00
power655,00001,Giá trị Jackpot 2,Jackpot 1,O O O O O O,0,30528493950,"{""columns"":{""Giá trị giải (đồng)"":""30.528.493.950"",""Giải thưởng"":""Jackpot 1"",""Kết quả"":""O O O O O O"",""Số lượng giải"":""0""},""row_index"":0,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00001&nocatche=1,2026-06-13T17:11:24+00:00
power655,00001,Giá trị Jackpot 2,Jackpot 2,O O O O O | O,0,3058721550,"{""columns"":{""Giá trị giải (đồng)"":""3.058.721.550"",""Giải thưởng"":""Jackpot 2"",""Kết quả"":""O O O O O | O"",""Số lượng giải"":""0""},""row_index"":1,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00001&nocatche=1,2026-06-13T17:11:24+00:00
power655,00002,Giá trị Jackpot 2,Giải Ba,O O O,7264,50000,"{""columns"":{""Giá trị giải (đồng)"":""50.000"",""Giải thưởng"":""Giải Ba"",""Kết quả"":""O O O"",""Số lượng giải"":""7.264""},""row_index"":4,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00002&nocatche=1,2026-06-13T17:11:25+00:00
power655,00002,Giá trị Jackpot 2,Giải Nhì,O O O O,378,500000,"{""columns"":{""Giá trị giải (đồng)"":""500.000"",""Giải thưởng"":""Giải Nhì"",""Kết quả"":""O O O O"",""Số lượng giải"":""378""},""row_index"":3,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00002&nocatche=1,2026-06-13T17:11:25+00:00
power655,00002,Giá trị Jackpot 2,Giải Nhất,O O O O O,12,40000000,"{""columns"":{""Giá trị giải (đồng)"":""40.000.000"",""Giải thưởng"":""Giải Nhất"",""Kết quả"":""O O O O O"",""Số lượng giải"":""12""},""row_index"":2,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00002&nocatche=1,2026-06-13T17:11:25+00:00
power655,00002,Giá trị Jackpot 2,Jackpot 1,O O O O O O,0,31024813350,"{""columns"":{""Giá trị giải (đồng)"":""31.024.813.350"",""Giải thưởng"":""Jackpot 1"",""Kết quả"":""O O O O O O"",""Số lượng giải"":""0""},""row_index"":0,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00002&nocatche=1,2026-06-13T17:11:25+00:00
power655,00002,Giá trị Jackpot 2,Jackpot 2,O O O O O | O,0,3113868150,"{""columns"":{""Giá trị giải (đồng)"":""3.113.868.150"",""Giải thưởng"":""Jackpot 2"",""Kết quả"":""O O O O O | O"",""Số lượng giải"":""0""},""row_index"":1,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00002&nocatche=1,2026-06-13T17:11:25+00:00
power655,00003,Giá trị Jackpot 2,Giải Ba,O O O,6756,50000,"{""columns"":{""Giá trị giải (đồng)"":""50.000"",""Giải thưởng"":""Giải Ba"",""Kết quả"":""O O O"",""Số lượng giải"":""6.756""},""row_index"":4,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00003&nocatche=1,2026-06-13T17:11:26+00:00
power655,00003,Giá trị Jackpot 2,Giải Nhì,O O O O,336,500000,"{""columns"":{""Giá trị giải (đồng)"":""500.000"",""Giải thưởng"":""Giải Nhì"",""Kết quả"":""O O O O"",""Số lượng giải"":""336""},""row_index"":3,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00003&nocatche=1,2026-06-13T17:11:26+00:00
power655,00003,Giá trị Jackpot 2,Giải Nhất,O O O O O,7,40000000,"{""columns"":{""Giá trị giải (đồng)"":""40.000.000"",""Giải thưởng"":""Giải Nhất"",""Kết quả"":""O O O O O"",""Số lượng giải"":""7""},""row_index"":2,""table_index"":0}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/655?id=00003&nocatche=1,2026-06-13T17:11:26+00:00
